영업자시작일,업종명,업태명,업소명,소재지(도로명),소재지(지번)
2007-01-16,일반음식점,한식,가마솥식당,"서울특별시 동대문구 황물로 103 (답십리동,(황물길146))",서울특별시 동대문구 답십리동 483-39 (황물길146) 
2019-11-07,일반음식점,한식,그남자의돼지갈비,"서울특별시 동대문구 사가정로 238, 1층 (장안동)",서울특별시 동대문구 장안동 286-7 1층 
2018-11-19,일반음식점,식육(숯불구이),장안회관,서울특별시 동대문구 천호대로85길 10 (장안동),서울특별시 동대문구 장안동 463-3 
2016-05-27,일반음식점,한식,부산갈매기,"서울특별시 동대문구 천호대로85길 26-6 (장안동,(장평1길7-11))",서울특별시 동대문구 장안동 463-7 (장평1길7-11) 
2006-12-01,일반음식점,한식,감악산생고기,"서울특별시 동대문구 답십리로 252 (장안동,(답십리길252))",서울특별시 동대문구 장안동 143-40 (답십리길252) 
1998-12-19,일반음식점,한식,홍탁집,"서울특별시 동대문구 장한로 69 (장안동,(장한로69))",서울특별시 동대문구 장안동 375-3 (장한로69) 
2013-08-23,일반음식점,한식,친구사이,"서울특별시 동대문구 한천로10길 40, 1층 (장안동)",서울특별시 동대문구 장안동 216-32 1층 
2000-05-31,일반음식점,한식,압구정포장마차,서울특별시 동대문구 홍릉로 27-1 (청량리동),서울특별시 동대문구 청량리동 696 
2019-11-28,일반음식점,한식,정화네뼈우거지탕,"서울특별시 동대문구 홍릉로 27, 1층 (청량리동)",서울특별시 동대문구 청량리동 704 1층 
1995-01-06,일반음식점,한식,옛날칼국수,서울특별시 동대문구 이문로 187 (이문동),서울특별시 동대문구 이문동 256-24 
1998-05-20,일반음식점,한식,돼지왕,서울특별시 동대문구 휘경로2길 5-4 (이문동),서울특별시 동대문구 이문동 305-75 
2016-06-09,일반음식점,한식,계절밥상,"서울특별시 동대문구 신이문로 27-7, 1층 (이문동)",서울특별시 동대문구 이문동 237-153 
1999-04-01,일반음식점,한식,와우한식당,"서울특별시 동대문구 황물로 103 (답십리동,(황물길 146))",서울특별시 동대문구 답십리동 483-39 (황물길 146) 
2011-02-15,일반음식점,중국식,홍반장,"서울특별시 동대문구 무학로 78, 1층 (용두동)",서울특별시 동대문구 용두동 129-98 
2005-01-05,일반음식점,중국식,동순루,"서울특별시 동대문구 왕산로 190 (전농동,(왕산로 326-1))",서울특별시 동대문구 전농동 620-10 (왕산로 326-1) 
2012-02-16,일반음식점,중국식,황금성,서울특별시 동대문구 장한로34길 9 (장안동),서울특별시 동대문구 장안동 312-13 
1990-07-23,일반음식점,중국식,만성,"서울특별시 동대문구 답십리로 241 (장안동,(답십리길241))",서울특별시 동대문구 장안동 141-24 (답십리길241) 
1998-12-19,일반음식점,경양식,따봉돈까스,"서울특별시 동대문구 답십리로65길 96 (장안동,(장안안길76))",서울특별시 동대문구 장안동 288-38 (장안안길76) 
2004-02-23,일반음식점,경양식,아리랑동가스,서울특별시 동대문구 이문로28길 13 (이문동),서울특별시 동대문구 이문동 288-44 
2020-02-20,일반음식점,호프/통닭,세계로 식당,서울특별시 동대문구 이문로28길 15 (이문동),서울특별시 동대문구 이문동 288-43 
2018-05-09,일반음식점,한식,콩불 경희대점,"서울특별시 동대문구 경희대로3길 10, 1층 (회기동)",서울특별시 동대문구 회기동 42-8 1층 
2011-12-23,일반음식점,분식,김가네,서울특별시 동대문구 천호대로 8 (신설동),서울특별시 동대문구 신설동 103-1 
2007-04-20,일반음식점,호프/통닭,그린호프,,서울특별시 동대문구 용두동 100-5 
1996-06-21,일반음식점,한식,장미식당,,서울특별시 동대문구 용두동 11-24 
2017-11-07,일반음식점,일식,가도,"서울특별시 동대문구 왕산로28길 35, 1층 (용두동)",서울특별시 동대문구 용두동 27-1 
2008-08-28,일반음식점,호프/통닭,열정포장마차,"서울특별시 동대문구 약령시로 100, 1층 (제기동)",서울특별시 동대문구 제기동 591-5 
2008-02-04,일반음식점,호프/통닭,물망초,"서울특별시 동대문구 약령시로15길 4 (제기동,(보린길 4))",서울특별시 동대문구 제기동 348-0 (보린길 4) 
2016-03-29,일반음식점,분식,라선생돈까스,서울특별시 동대문구 전농로 210-1 (전농동),서울특별시 동대문구 전농동 103-531 
1990-11-22,일반음식점,분식,실비식당,"서울특별시 동대문구 전농로 23 (답십리동,(전농로25))",서울특별시 동대문구 답십리동 487-20 (전농로25) 
