식당명,주소,메뉴
레알라면,서울 동대문구 회기로25길 23-5,"['오렌지', '옐로우', '레드', '쿨피스(소)']"
잔월,서울 동대문구 경희대로1길 7,"['모듬꼬치', '니혼탕수육', '소고기타다끼(한우)', '육회', '고로케', '새우튀김']"
솔낭구갈비,서울 동대문구 회기로13길 11,"['등심 1+', '국내산 돼지갈비', '국내산 삼겹살', '국내산 항정살', '국내산 생목살', '뚝배기불고기', '돼지불백', '차돌된장찌개', '갈비탕', '순두부', '냉면']"
솔잎깨비식당,서울 동대문구 경희대로6길 7-47,[]
봉추찜닭 경희대점,서울 동대문구 회기로19길 17,"['봉추찜닭 소', '누룽지', '봉추찜닭 중', '봉추찜닭 대']"
레알라면,서울 동대문구 회기로25길 23-5,"['오렌지', '옐로우', '레드', '쿨피스(소)']"
잔월,서울 동대문구 경희대로1길 7,"['모듬꼬치', '니혼탕수육', '소고기타다끼(한우)', '육회', '고로케', '새우튀김']"
에이바우트커피 경희대점,서울 동대문구 경희대로3길 28,"['카페라떼', '아이스티', '아포가토', '꿀토마토 주스', '한라봉 스무디']"
이삭토스트 경희대점,서울 동대문구 경희대로 9-1,"['칠리새우', '트리플소세지 토스트', '핫치킨MVP', '딥치즈 베이컨 포테이토', '베이컨 포테이토 피자', '딥치즈 베이컨', '더블치즈 돈까스', '베이컨 치즈 베이글', '베이컨베스트', '피자', '불갈비 MVP', '불고기 MVP', '스테이크햄 VIP', '햄스페셜', '감자']"
본죽 경희대점,서울 동대문구 회기로 143,"['소고기야채죽', '낙지김치죽', '전복죽', '불낙죽', '해물죽', '낙지김치해장죽']"
장터목,서울 동대문구 경희대로1길 8-18 복합빌딩 2층,['돌판숯불갈비']
회기역파전골목,서울 동대문구 회기로28길 8,[]
또봉이통닭 서울회기점,서울 동대문구 회기로18길 41 회기동 상가주택,"['또봉이통닭', '양념통닭', '간장마늘통닭', '갈비통닭', '맵닭', '똥집튀김', '국물떡볶이']"
꽃술,서울 동대문구 경희대로1길 8-14 1층,"['수제피자(5종)', '삼겹살김치볶음밥', '벌교꼬막비빔밥', '쫄면삼겹살', '수육과무쌈', '밀푀유소고기나베', '즉석떡볶이', '복숭아꽃술750ml']"
삼구포차 경희대점,서울 동대문구 이문로 25 회기동 근린생활시설,"['왕계란말이', '부대찌개', '60cm정보소세지', '바삭바삭감자전', '한입양념갈비']"
샹그라경희대점,서울 동대문구 경희대로 19,"['잡탕밥', '자연송이모듬버섯 덮밥', '유산슬밥', '수초면', '고추잡채덮밥', '게살 XO 볶음밥', '마파두부밥', '잡채밥', '후난 볶음밥', '삼선볶음밥', '소고기볶음밥', '자장밥', '유니자장면', '삼선자장면', '삼선짬뽕']"
종로김밥 경희대점,서울 동대문구 경희대로 9,"['야채김밥', '치즈김밥', '갈비만두']"
피자스쿨 경희대점,서울 동대문구 회기로 170,"['치즈피자', '페퍼로니피자', '콤비네이션피자', '포테이토피자', '불고기피자', '직화파인애플피자', '고구마피자', '핫치킨피자', '나폴리피자', '스테이크피자', '까르보네피자', '아이리쉬포테이토피자', '깐쇼새우피자', '도이치바이트피자', '야채퀘사디아피자']"
설빙 서울 회기역점,서울 동대문구 회기로 193,['설빙']
소울숲,서울 동대문구 망우로21가길 4 2층,"['1-5인', '6-10인', '11-20인', '21-25인', '26-30인']"
곱창이야기경희대점,서울 동대문구 회기로 135,"['곱창모둠', '소곱창', '한우소곱창', '소대창', '소막창']"
신촌설렁탕,서울 동대문구 경희대로 20,"['설렁탕', '갈비탕', '신촌탕', '도가니탕', '우족탕']"
고기야미안해,서울 동대문구 경희대로4길 20,"['전어', '회덮밥', '알밥', '통우럭매운탕', '알고니매운탕']"
굿아임찜닭,서울 동대문구 경희대로1가길 16-1,"['굿아임찜닭中', '뼈버린순살찜닭中', '묵은지찜닭中', '콩나물제육볶음中', '치즈추가中']"
뚝배기감자탕,서울 동대문구 회기로21길 18 1층,"['감자탕 소(2~3인분)', '뼈찜 소(2~3인분)', '뚝배기감자탕', '뚝배기불고기', '우거지순대국', '고기순대', '감자탕 대(4~5인분)', '감자탕 중(3~4인분)', '뼈찜 대(4~5인분)', '뼈찜 중(3~4인분)', '보쌈정식']"
